2019-01-23 11:19:59 EXEC SPC_GET_MESSAGE_LST
2019-01-23 11:20:06 EXEC SPC_LOGIN_ACT1 'ans713','1','','192.168.5.113';
2019-01-23 11:20:06 EXEC SPC_LOGIN_INQ1 'ans713';
2019-01-23 11:20:06 EXEC SPC_S003_LST1 'ans713';
2019-01-23 11:20:08 EXEC SPC_DB001_INQ1 'ans713';
2019-01-23 11:20:17 EXEC SPC_DB001_INQ1 'ans713';
2019-01-23 11:20:29 EXEC SPC_COM_M101_INQ1 '26','0';
2019-01-23 11:20:34 EXEC SPC_S001L_FND1 '','','','-1','50','1';
2019-01-23 11:20:38 EXEC SPC_S001_INQ1 '1';
2019-01-23 11:20:38 EXEC SPC_COM_M101_INQ1 '26','0';
2019-01-23 11:20:47 EXEC SPC_S002_INQ1
2019-01-23 11:20:52 EXEC SPC_S001_INQ1 '';
2019-01-23 11:20:52 EXEC SPC_COM_M101_INQ1 '26','0';
2019-01-23 11:22:03 EXEC SPC_S001_INQ1 '';
2019-01-23 11:22:03 EXEC SPC_COM_M101_INQ1 '26','0';
2019-01-23 11:23:24 EXEC SPC_S001_INQ1 '';
2019-01-23 11:23:24 EXEC SPC_COM_M101_INQ1 '26','0';
2019-01-23 11:23:27 EXEC SPC_LM001_FND1 '','50','1';
2019-01-23 11:23:30 EXEC SPC_LM001_FND1 '','50','1';
2019-01-23 11:24:23 EXEC SPC_LM001_FND1 '','50','1';
2019-01-23 11:26:11 EXEC SPC_LM001_FND1 '','50','1';
